model,augment,class,angle,loss,score
randomRotation,rotation,dog,40,4.353021081288656,0.04479166666666667
randomRotation,rotation,dog,50,4.35670363108317,0.04791666666666667
randomRotation,rotation,dog,60,4.675400193532308,0.04791666666666667
randomRotation,rotation,dog,70,4.923772017161052,0.03229166666666667
randomRotation,rotation,dog,80,5.419735685984294,0.023958333333333335
randomRotation,rotation,dog,90,5.13843936920166,0.040625
randomRotation,rotation,frog,0,6.1095248858133955,0.007291666666666667
randomRotation,rotation,frog,10,5.469244734446208,0.025
randomRotation,rotation,frog,20,5.780045986175537,0.027083333333333334
randomRotation,rotation,frog,30,5.527978897094727,0.017708333333333333
randomRotation,rotation,frog,40,5.3413361549377445,0.014583333333333334
randomRotation,rotation,frog,50,5.39988644917806,0.013541666666666667
randomRotation,rotation,frog,60,5.659023030598958,0.009375
randomRotation,rotation,frog,70,5.86768897374471,0.014583333333333334
randomRotation,rotation,frog,80,6.343303871154785,0.0125
randomRotation,rotation,frog,90,6.1173545837402346,0.01875
randomRotation,rotation,horse,0,4.909990310668945,0.0375
randomRotation,rotation,horse,10,4.388783137003581,0.052083333333333336
randomRotation,rotation,horse,20,4.619742647806803,0.0625
randomRotation,rotation,horse,30,4.282083686192831,0.059375
randomRotation,rotation,horse,40,4.174682823816935,0.05520833333333333
randomRotation,rotation,horse,50,4.357265027364095,0.03854166666666667
randomRotation,rotation,horse,60,4.870262591044108,0.028125
randomRotation,rotation,horse,70,5.146640237172445,0.020833333333333332
randomRotation,rotation,horse,80,4.893931992848715,0.036458333333333336
randomRotation,rotation,horse,90,4.213239479064941,0.084375
randomRotation,rotation,ship,0,2.5102797826131185,0.159375
randomRotation,rotation,ship,10,1.9490457455317178,0.36875
randomRotation,rotation,ship,20,3.0621915658315024,0.20208333333333334
randomRotation,rotation,ship,30,2.8640036900838215,0.19270833333333334
randomRotation,rotation,ship,40,2.688840977350871,0.22916666666666666
randomRotation,rotation,ship,50,2.849432182312012,0.16354166666666667
randomRotation,rotation,ship,60,3.1804614861806235,0.15729166666666666
randomRotation,rotation,ship,70,3.6056636651357015,0.12083333333333333
randomRotation,rotation,ship,80,3.226768636703491,0.15416666666666667
randomRotation,rotation,ship,90,2.8766185601552325,0.16041666666666668
randomRotation,rotation,truck,0,4.3452627499898275,0.057291666666666664
randomRotation,rotation,truck,10,3.784998718897502,0.11666666666666667
randomRotation,rotation,truck,20,4.646799453099569,0.06875
randomRotation,rotation,truck,30,3.841954819361369,0.10729166666666666
randomRotation,rotation,truck,40,3.517161258061727,0.12604166666666666
randomRotation,rotation,truck,50,3.708456532160441,0.09583333333333334
randomRotation,rotation,truck,60,4.418521912892659,0.05
randomRotation,rotation,truck,70,4.809390004475912,0.03229166666666667
randomRotation,rotation,truck,80,4.633710988362631,0.03125
randomRotation,rotation,truck,90,4.362500095367432,0.04479166666666667
